광고ID,매체ID,누적 전환 수,도메인,광고 종료일,목표 전환 수
11748,30,23,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,212,1,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,213,3879,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,246,10,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,270,219,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,281,11,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,291,2,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,303,825,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,324,93,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,337,101,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,340,927,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,341,608,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,371,3,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,389,3,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,401,303,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,422,116,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,431,177,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,479,37,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,482,23,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,485,700,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,508,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,514,162,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,515,118,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,516,184,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,517,181,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,518,122,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,524,900,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,525,676,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,527,44,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,528,140,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,530,289,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,532,735,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,533,62,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,534,20,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,545,2216,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,547,58,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,550,249,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,554,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,564,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,566,134,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,568,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,573,475,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,576,30,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,577,16,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,578,3610,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,579,3052,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,582,994,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,590,1266,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,593,1124,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,599,218,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,600,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,602,164,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,603,19,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,605,310,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,607,327,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,621,1933,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,628,769,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,634,4,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,636,1667,유틸리티/툴,2031-01-01 00:00:00,제한없음
